Wall time,Step,Value
1647027489.3921666,8192,395.0
1647027513.5696006,16384,365.0
1647027537.2158113,24576,358.0
1647027562.6029432,32768,348.0
1647027591.203105,40960,334.0
1647027615.1984172,49152,335.0
1647027639.1585965,57344,336.0
1647027664.974515,65536,333.0
1647027689.9729517,73728,333.0
1647027720.9443295,81920,324.0
1647027753.0149996,90112,316.0
1647027774.741531,98304,321.0
1647027805.1598327,106496,316.0
1647027836.5480921,114688,311.0
1647027868.6552856,122880,307.0
1647027908.8067315,131072,297.0
1647027933.6836953,139264,299.0
1647027973.0395155,147456,292.0
1647028012.137832,155648,286.0
1647028051.259867,163840,281.0
1647028090.0045156,172032,276.0
1647028123.4404507,180224,275.0
1647028141.0598931,188416,280.0
1647028168.7740238,196608,280.0
1647028194.423356,204800,282.0
1647028220.7547379,212992,283.0
1647028248.5132544,221184,283.0
1647028266.1532967,229376,287.0
1647028294.48834,237568,287.0
1647028318.151797,245760,289.0
1647028345.9782865,253952,289.0
1647028384.4435866,262144,286.0
