Wall time,Step,Value
1648152001.1354163,0,0.5410284996032715
1648152044.8259993,1,0.6388108730316162
1648152083.762001,2,0.655296802520752
1648152125.2148235,3,0.6642156839370728
1648152164.599709,4,0.6704052686691284
1648152203.7952118,5,0.6749609708786011
1648152241.8188648,6,0.6795926094055176
1648152281.0744975,7,0.682526707649231
1648152319.8337653,8,0.6854608058929443
1648152358.9886663,9,0.686954915523529
1648152399.2568376,10,0.7025650143623352
1648152440.3479662,11,0.7059750556945801
1648152479.4696965,12,0.7071369886398315
1648152518.2879806,13,0.7077051401138306
1648152557.6066132,14,0.7083545923233032
1648152599.4722102,15,0.7087478041648865
1648152639.385874,16,0.7087844014167786
1648152680.0188367,17,0.7096074223518372
1648152719.8450518,18,0.7102107405662537
1648152762.6265802,19,0.710652768611908
1648152803.0711584,20,0.7127991318702698
1648152844.1994839,21,0.7131163477897644
1648152884.7631865,22,0.7133699059486389
1648152925.3302743,23,0.7132085561752319
1648152966.0127387,24,0.7134268879890442
1648153007.237539,25,0.7134472131729126
1648153048.9063838,26,0.7134661674499512
1648153091.4890008,27,0.7136437892913818
1648153132.863079,28,0.7137170433998108
1648153176.6856427,29,0.7137265205383301
1648153217.27263,30,0.7140763401985168
1648153258.332845,31,0.7139773368835449
1648153299.1018124,32,0.7140397429466248
1648153339.7465653,33,0.714000403881073
1648153379.0323074,34,0.7140478491783142
1648153420.2417321,35,0.7140926122665405
1648153461.876297,36,0.7140397429466248
1648153503.7313747,37,0.7140735983848572
1648153545.279042,38,0.7140397429466248
1648153588.2251637,39,0.7140370011329651
1648153631.337186,40,0.7140952944755554
1648153672.242209,41,0.714087188243866
1648153713.6715734,42,0.7140763401985168
1648153754.6468444,43,0.7141143083572388
1648153795.4527209,44,0.7141020894050598
1648153836.9489977,45,0.7140817642211914
1648153879.2086842,46,0.7141129374504089
1648153919.9388072,47,0.7140858173370361
1648153961.6695576,48,0.7141034603118896
1648154002.4576828,49,0.7141183614730835
1648154044.4750547,50,0.7141224145889282
1648154086.862111,51,0.7141251564025879
1648154127.7734387,52,0.7141224145889282
1648154170.0285585,53,0.7141156792640686
1648154211.6732779,54,0.714126467704773
1648154253.0751548,55,0.714126467704773
1648154294.4100068,56,0.714126467704773
1648154338.387526,57,0.7141318917274475
1648154379.3143272,58,0.7141305804252625
1648154422.423178,59,0.7141251564025879
