Wall time,Step,Value
1648303895.0694373,0,0.8859015703201294
1648304508.42129,1,0.46902382373809814
1648305189.829743,2,0.4285968840122223
1648305853.2759306,3,0.40965449810028076
1648306555.80071,4,0.396126925945282
1648307317.489854,5,0.38623496890068054
1648308057.042221,6,0.37805911898612976
1648308837.5226772,7,0.3707079291343689
1648309632.947124,8,0.3650413751602173
1648310353.8636994,9,0.3595030903816223
1648311084.2323093,10,0.3271593451499939
1648311872.4440725,11,0.3186085522174835
1648312643.835945,12,0.3138575851917267
1648313426.5800815,13,0.3100912868976593
1648314192.7419207,14,0.3066307008266449
1648314945.5890465,15,0.30337098240852356
1648315720.8855028,16,0.30038970708847046
1648316498.7239404,17,0.2974889874458313
1648317253.6773968,18,0.29464998841285706
1648317998.6818836,19,0.2917543649673462
1648318787.8338401,20,0.2840009927749634
1648319553.0998902,21,0.28259938955307007
1648320302.8821988,22,0.28184041380882263
1648321087.4637742,23,0.2812429368495941
1648321860.2882,24,0.28067466616630554
1648322646.8137288,25,0.28015002608299255
1648323421.6514592,26,0.2796277403831482
1648324211.1539059,27,0.27914202213287354
1648324983.527153,28,0.2786518633365631
1648325778.0771744,29,0.27815335988998413
1648326560.686497,30,0.2770267426967621
1648327340.9774919,31,0.27692458033561707
